station,longitude,latitude
Birkbeck (Tramlink),-0.054580141,51.40304289
Avenue Road,-0.048118188,51.40615963
Beckenham Road,-0.04159356,51.40909636
Beckenham Junction (Tramlink),-0.024636241,51.41045194
WOOLWICH ARSENAL - DLR,0.070492592,51.48946942
Penge West,-0.059203378,51.41696823
Anerley,-0.06410424,51.411617
South Kenton,-0.307068904,51.56990367
Wembley Central,-0.295206549,51.55214998
Barking,0.082703641,51.53890805
Richmond,-0.30015416,51.46271961
Becontree,0.128978641,51.53983401
Dagenham Heathway,0.149158377,51.54110645
Buckhurst Hill,0.048455336,51.62548342
Edgware,-0.273183711,51.61311251
Cockfosters,-0.147553187,51.65103526
Oakwood,-0.129657109,51.64683948
Ruislip Gardens,-0.409140537,51.56027575
South Ruislip,-0.39728854,51.55635983
Northolt,-0.367069735,51.54775741
Hounslow West,-0.384218262,51.47310845
South Harrow,-0.350509518,51.56404932
Harrow & Wealdstone,-0.333300136,51.59154651
High Barnet,-0.192561468,51.65002914
Eastcote,-0.39578946,51.57601384
West Harrow,-0.351706569,51.57906815
Rayners Lane,-0.369864752,51.57469667
North Harrow,-0.361021834,51.58444941
Pinner,-0.379580851,51.59232907
Harrow-on-the-Hill,-0.33516664,51.57891586
Stanmore,-0.30167142,51.61921632
Canons Park,-0.293102561,51.60721294
Dagenham East,0.167617456,51.54364955
West Croydon,-0.101229704,51.37780543
Bush Hill Park,-0.067751096,51.64092455
Chingford,0.011677573,51.63278212
Enfield Town,-0.077733958,51.65163779
Southbury,-0.049888718,51.64825562
Headstone Lane,-0.355651952,51.60209779
Chadwell Heath,0.130973337,51.56749975
Waddon Marsh,-0.116278811,51.37647839
Wandle Park,-0.111770014,51.37293871
Reeves Corner,-0.104688108,51.37426316
Centrale,-0.102295527,51.37525458
West Croydon (Tramlink),-0.100095218,51.37841469
Wellesley Road,-0.095978591,51.37499854
Church Street,-0.102795537,51.37319514
George Street,-0.097458992,51.37338118
East Croydon (Tramlink),-0.09106147,51.37431604
Lebanon Road,-0.08389645,51.37468254
Sandilands,-0.07612476,51.37441486
Lloyd Park,-0.079087981,51.36367068
Coombe Lane,-0.058520648,51.35927821
Addiscombe,-0.07162576,51.37934189
Blackhorse Lane,-0.06870387,51.3844061
Woodside,-0.063965962,51.38645328
Harrow & Wealdstone,-0.333631214,51.59176883
Loughton,0.056970973,51.6408144
Debden,0.085403181,51.64489405
Theydon Bois,0.104967288,51.67133739
Epping,0.115641374,51.69306818
Elm Park,0.200311564,51.54920911
Hornchurch,0.220754707,51.55353835
Heathrow Terminals 1-2-3,-0.450857772,51.47079421
Upminster Bridge,0.237476635,51.55798569
West Ruislip,-0.436073394,51.56913097
Upminster,0.252767235,51.55857711
Hatton Cross,-0.42189306,51.4661174
Northwood,-0.422358538,51.61052039
Heathrow Terminal 5,-0.486475608,51.47201647
Heathrow Terminal 4,-0.444145672,51.45802947
Uxbridge,-0.4760666,51.54596187
Hillingdon,-0.447812239,51.55344939
Ickenham,-0.440467266,51.56146986
Ruislip,-0.420215108,51.57079343
Ruislip Manor,-0.410235646,51.57297789
Northwood Hills,-0.407168137,51.59969703
Emerson Park,0.221721192,51.56818654
Romford,0.184863954,51.57454494
Turkey Street,-0.045735795,51.67186641
Upminster,0.25221358,51.55850315
Hatch End,-0.367177631,51.60890473
Romford,0.184308898,51.57421472
Gidea Park,0.2071101,51.58117713
Harold Wood,0.234666819,51.59219909
Gravel Hill,-0.041304236,51.35401751
Addington Village,-0.031284121,51.35570988
New Addington,-0.015617483,51.34195708
King Henry's Drive,-0.018665196,51.3448509
Fieldway,-0.022640017,51.3504305
Chorleywood,-0.516985176,51.65380677
Rickmansworth,-0.472133393,51.63979883
Moor Park,-0.430710233,51.6293749
Croxley,-0.44019171,51.64658792
Watford,-0.415832512,51.65699167
Theobalds Grove,-0.033083485,51.69180047
Carpenders Park,-0.384142381,51.62780024
Chalfont & Latimer,-0.559159868,51.66754646
Cheshunt,-0.022373213,51.70246665
Watford High Street,-0.390612987,51.6519637
Watford Junction,-0.394615064,51.6634936
Bushey,-0.38369919,51.64433251
Chesham,-0.609421076,51.70474175
Amersham,-0.606146762,51.67366188
Clapton,-0.055484597,51.56103029
Crystal Palace,-0.071128264,51.41763277
Brentwood,0.301589064,51.61307149
Shenfield,0.331671253,51.6300009
Woodgrange Park,0.045631091,51.54871611
Willesden Junction,-0.242688895,51.5317515
